text	help	slug
Apologies worth making	(impact acknowledged, no excuses)	apologies-worth-making
Boundaries to set kindly	(need + request + consequence)	boundaries-to-set-kindly
Celebrations to plan for friends	(date + ritual + invite)	celebrations-to-plan-for-friends
Conflict repair scripts to practice	(I‑statements + ask to try again)	conflict-repair-scripts-to-practice
Conversation rituals to add	(walk + check‑in question)	conversation-rituals-to-add
Conversation starters	(ask about a tiny recent joy)	conversation-starters
Conversational rabbit holes	(odd “what if” scenarios)	conversational-rabbit-holes
Date ideas under $20	(constraints make it fun)	date-ideas-under-20
Gratitude texts to send	(specific + memory)	gratitude-texts-to-send
Micro‑traditions to start with family	(weekly tiny thing)	microtraditions-to-start-with-family
People to reconnect with	(who do you want to get a coffee with?)	people-to-reconnect-with
Qualities I value in friendships	(trait + a way to show it)	qualities-i-value-in-friendships
Questions to ask self before engaging in internet discussions	(do I have a horse in this race)	questions-to-ask-self-before-engaging-in-internet-discussions
Questions to deepen friendships	(past, present, future)	questions-to-deepen-friendships
Reasons to be alone	(what solitude restores)	reasons-to-be-alone
Reasons to be with other humans	(what connection energizes)	reasons-to-be-with-other-humans
Things I want people to say/remember about me in my eulogy	(and maybe who says it)	things-i-want-people-to-sayremember-about-me-in-my-eulogy
Things that keep relationships happy	(turn small bids into rituals)	things-that-keep-relationships-happy
Ways to reconnect after distance	(low‑pressure invite)	ways-to-reconnect-after-distance
Ways to show appreciation to loved ones	(specific thank‑you + when)	ways-to-show-appreciation-to-loved-ones
Ways to strengthen my relationships	(one weekly ritual together)	ways-to-strengthen-my-relationships
Ways to support a grieving friend	(practical help + presence)	ways-to-support-a-grieving-friend
Ways to surprise my partner/friend/family	(delight tied to their quirk)	ways-to-surprise-my-partnerfriendfamily
