text	help
Emotions I felt today that I didn't name at the time	(moment + the feeling underneath) emotions-i-felt-today-that-i-didnt-name-at-the-time
Intentions for tomorrow	(one word to guide your day) intentions-for-tomorrow
Micro-meditations I can repeat	(e.g., 3 breaths) micro-meditations-i-can-repeat
Mindful activities for this week	(tea, walk, or breath—pick one) mindful-activities-for-this-week
Moments this week where I chose reaction over response	(trigger + gentler replay) moments-this-week-where-i-chose-reaction-over-response
Moments today when I felt present	(name the sensory detail) moments-today-when-i-felt-present
Peaceful environments	(light + sound + smell) peaceful-environments
Places in my home that feel calm	(e.g., a corner) places-in-my-home-that-feel-calm
Sensations I'm noticing right now	(name 3 without judging) sensations-im-noticing-right-now
Small things I rushed past today that deserved attention	(what I'd revisit slowly) small-things-i-rushed-past-today-that-deserved-attention
Sounds heard in the monring upon waking	(e.g., birds chirping) sounds-heard-in-the-monring-upon-waking
Things I can hear if I close my eyes for 30 seconds	(layer by layer) things-i-can-hear-if-i-close-my-eyes-for-30-seconds
Things I can savor today	(e.g., one sip) things-i-can-savor-today
Thoughts I can let go of	(“I notice I’m thinking…”) thoughts-i-can-let-go-of
Times today I was on autopilot	(moment + what I missed) times-today-i-was-on-autopilot
Triggers I want to be aware of	(event → helpful response) triggers-i-want-to-be-aware-of
Ways to close the day gently	(e.g., low light) ways-to-close-the-day-gently
Ways to ground myself when anxious	(5‑4‑3‑2‑1 senses) ways-to-ground-myself-when-anxious
What my body is holding tension about right now	(where + what it's tied to) what-my-body-is-holding-tension-about-right-now
When I feel least myself	(situation + gentle boundary) when-i-feel-least-myself
When I feel most myself	(situation + ritual to amplify) when-i-feel-most-myself
