text	help	slug
Allies: ways to show up	(listen, credit, intervene)	allies-ways-to-show-up
An ideal society has...	(one policy + daily behavior)	an-ideal-society-has
Causes to support	(pick one and define your “hour”)	causes-to-support
Civic habits to build	(vote, attend, write)	civic-habits-to-build
Community spaces to support	(library, park, shelter)	community-spaces-to-support
Donate where $100 goes far	(find a multiplier)	donate-where-100-goes-far
Environmental changes to make	(swap X once a week)	environmental-changes-to-make
Local small businesses to amplify	(tag + review + refer)	local-small-businesses-to-amplify
Mutual aid opportunities nearby	(ask, offer, match)	mutual-aid-opportunities-nearby
Policy issues to learn deeper	(source + your stance)	policy-issues-to-learn-deeper
Random acts of kindness	(name who + small act)	random-acts-of-kindness
Reduce waste at home/work	(one swap + measure)	reduce-waste-at-homework
Skills I can teach for free	(schedule one session)	skills-i-can-teach-for-free
Storytelling for a cause	(hero, villain, stakes)	storytelling-for-a-cause
The biggest opportunities in the world	(problem → leverage you have)	the-biggest-opportunities-in-the-world
Things happening in the world	(trend + why it matters locally)	things-happening-in-the-world
Things to change	(one phone call or email)	things-to-change
Volunteer activities	(skill you can offer next week)	volunteer-activities
Voter registration drives to join	(date + partner)	voter-registration-drives-to-join
Ways to handle population growth	(get silly, e.g., shoot people into space)	ways-to-handle-population-growth
Ways to help my community	(one neighbor + one action)	ways-to-help-my-community
Where to show up monthly	(standing commitment)	where-to-show-up-monthly
