text	help
Allies: ways to show up	(listen, credit, intervene) allies-ways-to-show-up
An ideal society has...	(one policy + daily behavior) an-ideal-society-has
Big problems I wish someone would solve	(problem + why I care) big-problems-i-wish-someone-would-solve
Causes I care about but haven't acted on	(cause + first micro‑step) causes-i-care-about-but-havent-acted-on
Causes to support	(pick one and define your “hour”) causes-to-support
Civic habits to build	(vote, attend, write) civic-habits-to-build
Community spaces to support	(library, park, shelter) community-spaces-to-support
Donate where $100 goes far	(find a multiplier) donate-where-100-goes-far
Environmental changes to make	(swap X once a week) environmental-changes-to-make
Issues I have strong feelings about but fuzzy knowledge of	(gut feeling + what I'd want to know) issues-i-have-strong-feelings-about-but-fuzzy-knowledge-of
Local small businesses to amplify	(tag + review + refer) local-small-businesses-to-amplify
Mutual aid opportunities nearby	(ask, offer, match) mutual-aid-opportunities-nearby
Problems in my neighborhood I walk past every day	(problem + who to tell) problems-in-my-neighborhood-i-walk-past-every-day
Random acts of kindness	(name who + small act) random-acts-of-kindness
Reduce waste at home/work	(one swap + measure) reduce-waste-at-homework
Skills I can teach for free	(schedule one session) skills-i-can-teach-for-free
Small actions that would matter if everyone did them	(ripple + starting with me) small-actions-that-would-matter-if-everyone-did-them
Storytelling for a cause	(hero, villain, stakes) storytelling-for-a-cause
Things within my power to change this month	(one action I can take) things-within-my-power-to-change-this-month
Trends I've noticed that will shape the next decade	(trend + how it touches my life) trends-ive-noticed-that-will-shape-the-next-decade
Volunteer activities	(skill you can offer next week) volunteer-activities
Ways I could use my specific skills to help others	(skill + who needs it) ways-i-could-use-my-specific-skills-to-help-others
Ways to handle population growth	(get silly, e.g., shoot people into space) ways-to-handle-population-growth
Ways to help my community	(one neighbor + one action) ways-to-help-my-community
Ways to make my workplace more inclusive	(one change + who it helps) ways-to-make-my-workplace-more-inclusive
Ways to make voting easier for people around me	(barrier + fix) ways-to-make-voting-easier-for-people-around-me
Where to show up monthly	(standing commitment) where-to-show-up-monthly
