text	help	slug
Healthy habits to practice while traveling	(water, walk, and wind‑down)	healthy-habits-to-practice-while-traveling
Healthy snacks to prepare	(protein + fiber + crunch)	healthy-snacks-to-prepare
Morning routine improvements	(add light + movement)	morning-routine-improvements
Outdoor activities to try	(buddy + simple route)	outdoor-activities-to-try
Playful ways to be active with friends	(game with a silly rule)	playful-ways-to-be-active-with-friends
Quick home workouts without equipment	(AMRAP 10: 3 moves)	quick-home-workouts-without-equipment
Relaxing evening routines	(screens off + cozy cue)	relaxing-evening-routines
Stress-relief activities	(breath + body + brain)	stress-relief-activities
Stretches to do during work breaks	(pick 3 and loop hourly)	stretches-to-do-during-work-breaks
Things I like eating	(pair tasty with nutrient)	things-i-like-eating
Things that would improve my sleep	(cool, dark, and consistent)	things-that-would-improve-my-sleep
Top health concerns	(concern → one appointment or test)	top-health-concerns
Ways to add more movement to my life	(stack onto existing habit)	ways-to-add-more-movement-to-my-life
Ways to reduce screen time	(swap one slot with analog)	ways-to-reduce-screen-time
Ways to stay hydrated	(habit cue + bottle nearby)	ways-to-stay-hydrated
Wellness goals for the month	(weekly checkpoint + reward)	wellness-goals-for-the-month
