text	help
Bucket list adventures	(place + playful challenge) bucket-list-adventures
Daily routines I do on autopilot that I could rethink	(habit + fresher swap) daily-routines-i-do-on-autopilot-that-i-could-rethink
Elements of my dream house	(room + feeling it gives) elements-of-my-dream-house
Foods/recipes to try	(twist one ingredient) foodsrecipes-to-try
Guilty pleasures I shouldn't feel guilty about	(enjoy it fully) guilty-pleasures-i-shouldnt-feel-guilty-about
Healthy habits to adopt	(start absurdly small) healthy-habits-to-adopt
Home improvement projects	(weekend‑sized wins) home-improvement-projects
Mini declutter challenges	(e.g., one shelf) mini-declutter-challenges
Morning rituals I actually enjoy	(e.g., 5‑minute brew) morning-rituals-i-actually-enjoy
Personal uniforms — outfit formulas that always work	(top + bottom + confidence) personal-uniforms-outfit-formulas-that-always-work
Pet names	(personality + unexpected theme) pet-names
Rituals that make an ordinary day feel special	(e.g., morning coffee in the good mug) rituals-that-make-an-ordinary-day-feel-special
Rooms I've loved being in and what made them great	(light, texture, vibe) rooms-ive-loved-being-in-and-what-made-them-great
Scents I associate with different periods of my life	(smell + era it unlocks) scents-i-associate-with-different-periods-of-my-life
Seasonal rituals I look forward to	(season + sensory anchor) seasonal-rituals-i-look-forward-to
Small upgrades that made a disproportionate difference	(tiny cost, huge payoff) small-upgrades-that-made-a-disproportionate-difference
Sounds that make me feel at home	(e.g., rain on the roof) sounds-that-make-me-feel-at-home
Things I own that spark joy vs things I keep out of guilt	(hold it; feel it) things-i-own-that-spark-joy-vs-things-i-keep-out-of-guilt
Things to get rid of	(one bag out today) things-to-get-rid-of
Tiny luxuries to add at home	(e.g., nicer soap) tiny-luxuries-to-add-at-home
Ways to create the world you want	(act locally on one value) ways-to-create-the-world-you-want
Ways to make chores lighter	(e.g., 10‑min sprints) ways-to-make-chores-lighter
Ways to reduce stress	(remove one “should”) ways-to-reduce-stress
Ways to shake up my home environment	(move furniture or change a light) ways-to-shake-up-my-home-environment
Ways to simplify my life	(unsubscribe / delete / say no) ways-to-simplify-my-life
