text	help	slug
Budget experiments to try	(one rule + one reward)	budget-experiments-to-try
Expenses to eliminate without losing joy	(swap X for Y)	expenses-to-eliminate-without-losing-joy
Financial goals for this year	(number + first step)	financial-goals-for-this-year
Freelance services I could offer	(niche + first client target)	freelance-services-i-could-offer
High‑ROI learning purchases	(course/tool + expected outcome)	highroi-learning-purchases
If money were no object	(fund a wildly kind act)	if-money-were-no-object
Investment opportunities to explore	(thesis in one sentence)	investment-opportunities-to-explore
Odd monetary systems	(what’s valuable and why)	odd-monetary-systems
One‑time set‑and‑forget money tasks	(auto‑transfer, freeze, alerts)	onetime-setandforget-money-tasks
Pricing ideas for my work	(tiers + guarantee)	pricing-ideas-for-my-work
Small bets with asymmetric upside	(cap downside at $X)	small-bets-with-asymmetric-upside
Systems to prevent impulse buys	(24‑hour rule + exception)	systems-to-prevent-impulse-buys
Ways to increase my income	(one client or skill to sell)	ways-to-increase-my-income
Ways to increase savings rate this month	(percent + concrete step)	ways-to-increase-savings-rate-this-month
Ways to save money	(swap with equal joy cheaper)	ways-to-save-money
Ways to speed up retirement	(raise savings rate by 1%)	ways-to-speed-up-retirement
Ways to support creators I value	(pay, review, referral)	ways-to-support-creators-i-value
What I'd do with a spare $1M	(give, build, or buy—choose one)	what-id-do-with-a-spare-1m
